Service Line Locality,Street Address,Zip Code,State,"Lead Gooseneck, Pigtail or Connector Currently Present",Current Public Side SL Material,Was Public SL Material Ever Previously Lead,Public SL Material Verification Method,Public SL Installation or Replacement Date,Public SL Size,Customer SL Material,Customer SL Material Verification Method,Lead Solder Present,Building Type,POU or POE Treatment Present,Customer SL Installation or Replacement Date,Customer SL Size,SL Category,Note,Location
Poughkeepsie,82  TAMARACK HILL DR.,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85554 41.72396)
Poughkeepsie,18  WOODCLIFF AVENUE,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.89733 41.69676)
Poughkeepsie,15  WILMAR TERRACE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92006 41.71823)
Poughkeepsie,196  VIOLET AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91081 41.72789)
Poughkeepsie,17  TAMARACK HILL DR.,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85636 41.71957)
Poughkeepsie,62  LINDBERGH PLACE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.89842 41.70426)
Poughkeepsie,4  CATHY ROAD,12603,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92406 41.6795)
Poughkeepsie,92  OAKDALE AVENUE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91611 41.71993)
Poughkeepsie,53  SKYVIEW DRIVE,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85609 41.71235)
Poughkeepsie,3  CASE COURT (REAR),12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.90675 41.68585)
Poughkeepsie,5  BRIARWOOD DRIVE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.93167 41.64761)
Poughkeepsie,2503  SOUTH ROAD ( 8 INCH),12601,NY,No,Known Other,No,Not Verified,,,Known Other,Not Verified,,,,,,,,POINT (-73.9314 41.65857)
Poughkeepsie,19  CATHY ROAD,12603,NY,No,Lead including lead-lined galvanized,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92395 41.67799)
Poughkeepsie,7  LEWIS AVENUE,12603,NY,No,Unknown but could be lead,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.90333 41.69579)
Poughkeepsie,16  SHARON DRIVE,12603,NY,No,Copper,Yes,Excavation,TRUE,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92689 41.67837)
Poughkeepsie,61  BUCKINGHAM AVENUE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.91801 41.71968)
Poughkeepsie,3  EILEEN BOULEVARD,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85756 41.70986)
Poughkeepsie,382  VIOLET-FRNT-W4 SEWER,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.90923 41.73821)
Poughkeepsie,1  EASTERN PARKWAY,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85902 41.71225)
